City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Saint-Philippe,RE,-21.3585,55.7679,64.22,70,35,12.44,scattered clouds
116,Tabou,CI,4.423,-7.3528,76.44,78,100,9.51,overcast clouds
117,Chandbali,IN,20.7833,86.7667,77.18,91,100,3.0,overcast clouds
118,Grand Gaube,MU,-20.0064,57.6608,68.4,70,70,5.99,broken clouds
119,Mount Isa,AU,-20.7333,139.5,60.57,39,96,4.61,overcast clouds
120,Chokurdakh,RU,70.6333,147.9167,48.9,72,100,8.55,overcast clouds
121,Souillac,MU,-20.5167,57.5167,68.38,64,20,16.11,few clouds
122,Victoria,HK,22.2855,114.1577,81.32,93,100,8.01,overcast clouds
123,Qaanaaq,GL,77.484,-69.3632,39.07,72,96,6.2,overcast clouds
124,Dicabisagan,PH,17.0818,122.4157,77.43,88,98,4.03,overcast clouds
125,Sitka,US,57.0531,-135.33,62.49,77,75,4.61,broken clouds
126,Alofi,NU,-19.0595,-169.9187,78.69,78,40,10.36,scattered clouds
127,Abu Kamal,SY,34.4506,40.9171,90.43,25,0,9.93,clear sky
128,Aksu,CN,41.1231,80.2644,81.21,36,98,8.46,overcast clouds
129,Bambous Virieux,MU,-20.3428,57.7575,68.25,64,20,16.11,few clouds
130,Kruisfontein,ZA,-34.0033,24.7314,54.88,92,100,2.13,overcast clouds
131,Smithers,CA,54.7804,-127.1743,79.12,41,20,3.44,few clouds
132,College,US,64.8569,-147.8028,66.99,53,20,4.61,few clouds
133,Mehamn,NO,71.0357,27.8492,53.51,87,75,28.77,moderate rain
134,Shimoda,JP,34.6667,138.95,76.1,88,100,12.66,overcast clouds
135,Shellbrook,CA,53.2168,-106.4011,74.43,45,100,8.08,overcast clouds
136,Iqaluit,CA,63.7506,-68.5145,53.33,62,20,5.75,few clouds
137,San Francisco,US,37.7749,-122.4194,86.11,72,20,18.41,few clouds
138,Airai,TL,-8.9266,125.4092,56.7,93,55,3.38,broken clouds
139,Georgetown,MY,5.4112,100.3354,83.89,90,20,2.3,few clouds
140,Mangai,CD,-4.05,19.5333,77.88,23,88,2.71,overcast clouds
141,Qrendi,MT,35.8347,14.4583,78.12,83,20,4.61,few clouds
142,Faanui,PF,-16.4833,-151.75,78.22,75,12,14.47,light rain
143,Gizo,SB,-8.103,156.8419,81.0,77,95,6.46,light rain
144,Hay River,CA,60.8156,-115.7999,60.76,48,20,5.75,few clouds
145,Broome,US,42.2506,-75.833,85.17,41,20,9.22,few clouds
146,Mahebourg,MU,-20.4081,57.7,68.29,64,20,16.11,few clouds
147,Avarua,CK,-21.2078,-159.775,77.05,78,45,13.8,scattered clouds
148,Campo Maior,BR,-4.8278,-42.1686,86.92,31,40,3.38,scattered clouds
149,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,85,49,7.31,scattered clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,60.82,55,0,13.8,clear sky
151,Kloulklubed,PW,7.0419,134.2556,75.7,71,100,3.65,light rain
152,Barreirinhas,BR,-2.7469,-42.8264,78.93,75,67,10.67,broken clouds
153,Dongsheng,CN,39.8161,109.9776,71.37,85,10,8.03,clear sky
154,Berlevag,NO,70.8578,29.0864,53.55,76,75,23.02,light rain
155,Quelimane,MZ,-17.8786,36.8883,67.86,85,0,4.29,clear sky
156,Zihuatanejo,MX,17.6333,-101.55,91.49,62,75,10.36,broken clouds
157,Lar,IN,26.2039,83.9717,82.15,76,2,13.24,clear sky
158,Corinto,GR,37.9407,22.9573,78.89,47,5,2.77,clear sky
159,Gijon,ES,43.5357,-5.6615,73.26,91,7,4.0,clear sky
160,Ucluelet,CA,48.9329,-125.5528,66.51,82,2,1.01,clear sky
161,Makakilo City,US,21.3469,-158.0858,84.52,59,75,18.41,broken clouds
162,Turayf,SA,31.6725,38.6637,84.45,42,0,11.5,clear sky
