City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Trinidad,BO,82.38,clear sky,-14.8333,-64.9,Hotel Piesta
615,Flin Flon,CA,75.04,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
616,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
618,North Bend,US,78.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
620,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
621,Shiyan,CN,78.84,few clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
624,Olot,ES,79.25,overcast clouds,42.181,2.4901,Hotel Riu Fluvià
629,Mogadouro,PT,78.26,clear sky,41.3403,-6.7119,Pensão Russo
633,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
634,Sokoto,NG,73.6,overcast clouds,13.0609,5.239,Grand Ibro Hotel
637,Mianwali,PK,84.51,clear sky,32.5741,71.5264,Hashmi Plaza
641,Valea Nucarilor,RO,72.37,few clouds,45.0333,28.9333,Alexia pond pension
642,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
644,Klamath Falls,US,83.86,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
647,Do Gonbadan,IR,84.29,broken clouds,30.3586,50.7981,مسافرخانه شادی
649,Kawalu,ID,71.56,moderate rain,-7.3817,108.2082,West Jontor
650,Lamas,PE,81.07,scattered clouds,-6.4167,-76.5333,Peru Selva Tarapoto Lamas Linda
651,Palu,ID,76.41,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
654,Corning,US,82.44,clear sky,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
656,Kanniyakumari,IN,79.59,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
657,Liverpool,GB,79.34,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
658,Trairi,BR,77.76,broken clouds,-3.2778,-39.2689,janelas do mar
661,Belison,PH,77.92,overcast clouds,10.8384,121.9605,Vistapaloma Beach Resort
662,Romny,UA,71.35,overcast clouds,50.751,33.4747,Floriana
671,Adamovka,RU,71.8,overcast clouds,51.5223,59.9396,Gostinitsa
672,Lingao,CN,78.75,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
674,Sigli,ID,78.75,overcast clouds,5.3848,95.9609,Losmen Dua Mali
675,Gazanjyk,TM,83.68,clear sky,39.2446,55.5154,Railway motel
684,Baoying,CN,80.19,broken clouds,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
685,Tutoia,BR,79.23,few clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
687,Valente,BR,80.15,clear sky,-11.4122,-39.4619,Bel Pousada E Restaurante
688,Manokwari,ID,77.95,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
689,Pulivendla,IN,78.75,overcast clouds,14.4167,78.2333,Kothabalaji
691,Quang Ngai,VN,76.44,broken clouds,15.1167,108.8,Central Hotel
692,Uhlove,UA,73.02,few clouds,44.8215,33.6045,Tavryda
693,Takoradi,GH,74.73,overcast clouds,4.8845,-1.7554,Raybow International Hotel
694,Madang,PG,75.54,heavy intensity rain,-5.2246,145.7966,Comfort Inn Hotel
695,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
696,Lufilufi,WS,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
697,Pozo Colorado,PY,71.53,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
698,Meulaboh,ID,77.36,overcast clouds,4.1363,96.1285,Kost Pria
702,Poso,ID,76.26,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
704,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
706,Wuhu,CN,81.93,overcast clouds,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
709,Pemba,MZ,74.1,broken clouds,-12.974,40.5178,Guesthouse Samotina
710,Taiyuan,CN,73.26,few clouds,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
