City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Karachi,PK,80.42,drizzle,24.9056,67.0822,Sadaat
414,Luganville,VU,75.27,broken clouds,-15.5333,167.1667,The Espiritu Hotel
415,Laguna De Perlas,NI,78.89,overcast clouds,12.3429,-83.6712,Hotel Best View
428,Havre-Saint-Pierre,CA,73.76,few clouds,50.2334,-63.5986,Auberge Niapiskau
429,Maragogi,BR,74.66,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
432,Tezu,IN,78.98,broken clouds,27.9167,96.1667,Circuit House
434,Vanimo,PG,76.68,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
436,Itarema,BR,78.22,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
441,Martil,MA,76.96,broken clouds,35.6166,-5.2752,فندق مرتيل
446,Xuddur,SO,71.42,broken clouds,4.1213,43.8894,Banjanay Hotel
448,Houma,US,84.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
449,Khotiv,UA,72.61,overcast clouds,50.3307,30.4684,Terra Nova Hotel-Restaurant
450,Bubaque,GW,80.58,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
453,Devarkonda,IN,76.87,scattered clouds,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
456,Kapit,MY,74.95,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
458,Barletta,IT,77.27,light rain,41.3118,16.2908,Best Western Hotel Dei Cavalieri
459,Changzhou,CN,82.36,overcast clouds,31.7833,119.9667,Gongyuan Hotel
460,Beirut,LB,81.34,clear sky,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
461,Hadgaon,IN,74.5,broken clouds,19.5,77.6667,Ayan khan
462,Nabire,ID,73.85,broken clouds,-3.3667,135.4833,Hotel Nusantara I
464,Todos Santos,MX,84.65,broken clouds,23.45,-110.2167,Hotel California Todos Santos
465,Ternate,ID,80.06,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
468,Pontes E Lacerda,BR,79.84,clear sky,-15.2261,-59.3353,Hotel Bressan
469,Esmeraldas,BR,77.11,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
471,Lontzen,BE,76.24,clear sky,50.6813,6.0071,Jo`s Luxus Suites
478,Sorong,ID,76.77,broken clouds,-0.8833,131.25,Waigo Splash Hotel
481,Tohana,IN,79.48,overcast clouds,29.7,75.9,Bhatia Hotel
483,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
484,Ha Tinh,VN,76.24,light rain,18.3333,105.9,Phú Quý
489,Pringsewu,ID,73.47,scattered clouds,-5.3582,104.9744,Urban Style by Front One
491,Angoche,MZ,71.91,clear sky,-16.2325,39.9086,Guest House HESADA
493,Dawlatabad,AF,75.47,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
497,Crixas,BR,81.16,overcast clouds,-14.5489,-49.9692,RISO HOTEL
508,Fukuchiyama,JP,77.04,light rain,35.3,135.1167,Fukuchiyama Sun Hotel
509,Barabai,ID,73.27,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
513,Along,IN,75.16,broken clouds,28.1667,94.7667,Hotel West
514,Lotofaga,WS,80.38,light rain,-13.9764,-171.8578,Vai Villas
521,Caravelas,BR,73.31,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
524,Lazaro Cardenas,MX,84.2,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
527,Labuhan,ID,77.02,broken clouds,-6.8844,112.2051,DoubleFAG
532,Keti Bandar,PK,81.45,overcast clouds,24.1447,67.4497,Haji laloo memon house
533,Trelaze,FR,82.72,clear sky,47.45,-0.4667,Logis Hôtel de Loire Rest. les Bateliers
534,Devils Lake,US,73.51,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
535,Yining,CN,78.28,overcast clouds,29.0361,114.5636,Xiushui Hotel
538,San Policarpo,PH,78.31,overcast clouds,12.1791,125.5072,Agapita M. Nicart
542,Srivardhan,IN,79.47,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
543,Custodia,BR,78.26,clear sky,-8.0875,-37.6431,Hotel do Sertão
549,Tangjiazhuang,CN,70.45,broken clouds,39.7333,118.45,Peace Hotel
556,Samarai,PG,78.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
